Tipo;Data Compra;Produto;Qtd;Valor Item;Total Pack;Forma Pagamento;Cartão;Parcelas;Data Entrega;Link Pedido / Nota Fiscal
Compra;06/04/2026;4 Espátulas Silicone Cozinha Reforçada Pão Duro Premium 27cm;2;R$ 102,00;R$ 102,00;Saldo ML;-;À vista;07/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012383659605/status?packId=2000012383659607&orderId=2000015860638640
Compra;08/04/2026;Fita Antiderrapante Safety Walk Ug Preto 50mm X 20m 3m;1;R$ 128,64;R$ 128,64;Mastercard;**** 5538;À vista;09/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015894451154/status?orderId=2000015894451154
Compra;08/04/2026;Vedante De Porta Em Alumínio 100cm Veda Porta Prateado Veda Porta;2;R$ 39,80;R$ 39,80;Saldo ML;-;À vista;12/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012418981185/status?packId=2000012418981187&orderId=2000015894540158
Compra;09/04/2026;Toalha De Mesa Plastico Transparente Impermeável 2.20 X 1.40 Transparente;3;R$ 74,94;R$ 74,94;Saldo ML;-;À vista;11/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012434999151/status?packId=2000012434999153&orderId=2000015909839968
Compra;09/04/2026;Toalha De Mesa Plastico Transparente Impermeável 1.40 X 1.40 Transparente;1;R$ 19,00;R$ 19,00;Saldo ML;-;À vista;11/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012434999153/status?packId=2000012434999155&orderId=2000015909845870
Compra;09/04/2026;Kit 02 Maçaricos Culinários Gourmet Para Cozinha Restaurantes Reparas De Solda Marca Kururuá Azul;3;R$ 110,28;R$ 110,28;Saldo ML;-;À vista;11/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012436885577/status?packId=2000012436885579&orderId=2000015911657540
Compra;09/04/2026;5000 Forminhas Caixetas Branca Papel 4 Pétalas;1;R$ 299,00;R$ 299,00;Mastercard;**** 5538;À vista;Em trânsito;https://myaccount.mercadolivre.com.br/my_purchases/2000015911810560/status?orderId=2000015911810560
Compra;10/04/2026;Regispel Etiqueta Lacre Segurança Delivery Alimentos Ifood 1000 Unid Cor Vermelho;6;R$ 159,42;R$ 159,42;Saldo ML;-;À vista;11/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012448376115/status?packId=2000012448376117&orderId=2000015922675678
Compra;10/04/2026;Placa De Premiação 3d Placa Personalizada Aluno Mentorado;1;R$ 177,17;R$ 177,17;Mastercard;**** 5538;À vista;Em trânsito;https://myaccount.mercadolivre.com.br/my_purchases/2000015922730070/status?orderId=2000015922730070
Compra;10/04/2026;Rolo Acetato Lateral De Bolo/torta 7cm X 200m - Melhor Preço;1;R$ 148,49;R$ 148,49;Saldo ML;-;À vista;12/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012452516705/status?packId=2000012452516707&orderId=2000015926655282
Compra;10/04/2026;Rolo Acetato Lateral De Bolo/torta 7cm X 200m - Melhor Preço;1;R$ 148,49;R$ 148,49;Saldo ML;-;À vista;12/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012452516709/status?packId=2000012452516711&orderId=2000015926658336
Compra;10/04/2026;Rolo Acetato Lateral De Bolo/torta 7cm X 200m - Melhor Preço;1;R$ 148,49;R$ 148,49;Saldo ML;-;À vista;12/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012452516707/status?packId=2000012452516709&orderId=2000015926655294
Compra;11/04/2026;Granulado Monalisa Flakes Large Dark 1kg Callebaut;1;R$ 265,19;R$ 265,19;Mastercard;**** 5538;À vista;Em trânsito;https://myaccount.mercadolivre.com.br/my_purchases/2000015936107340/status?orderId=2000015936107340
Compra;13/04/2026;500unid Celofone Folha 18x18 Transparente P Brownie E Doces;1;R$ 36,00;R$ 36,00;Mastercard;**** 5538;À vista;Em trânsito;https://myaccount.mercadolivre.com.br/my_purchases/2000015960764224/status?orderId=2000015960764224
Compra;13/04/2026;5000 Forminhas Caixetas Branca Papel 4 Pétalas;1;R$ 299,00;R$ 299,00;Mastercard;**** 5538;À vista;Em trânsito;https://myaccount.mercadolivre.com.br/my_purchases/2000015964629684/status?orderId=2000015964629684
